Year,Country_Name,Nbr_Cars,Nbr_Commercial_Vehicle,Total,Percent_Change,Continent,Lower CI,Upper CI
2000-01-01,Argentina,238921.0,100711.0,339632.0,11.4%,South America,,
2000-01-01,Australia,323649.0,23473.0,347122.0,14.6%,Oceania,,
2000-01-01,Austria,115979.0,25047.0,141026.0,1.2%,Europe,,
2000-01-01,Belgium,912233.0,121061.0,1033294.0,1.6%,Europe,,
2000-01-01,Brazil,1351998.0,329519.0,1681517.0,24.5%,South America,,
2000-01-01,Canada,1550500.0,1411136.0,2961636.0,-3.2%,North America,,
2000-01-01,China,604677.0,1464392.0,2069069.0,13.1%,Asia,,
2000-01-01,Czechia,428224.0,27268.0,455492.0,21.1%,Europe,,
2000-01-01,Egypt,39616.0,20149.0,59765.0,-21.4%,Africa,,
2000-01-01,Finland,38468.0,458.0,38926.0,13.2%,Europe,,
2000-01-01,France,2879810.0,468551.0,3348361.0,5.3%,Europe,,
2000-01-01,Germany,5131918.0,394697.0,5526615.0,-2.8%,Europe,,
2000-01-01,Hungary,134029.0,3369.0,137398.0,7.2%,Europe,,
2000-01-01,India,517957.0,283403.0,801360.0,-2.1%,Asia,,
2000-01-01,Indonesia,257058.0,35652.0,292710.0,228.9%,Asia,,
2000-01-01,Iran,274985.0,3000.0,277985.0,132.8%,Asia,,
2000-01-01,Italy,1422284.0,316031.0,1738315.0,2.2%,Europe,,
2000-01-01,Japan,8359434.0,1781362.0,10140796.0,2.5%,Asia,,
2000-01-01,Malaysia,280283.0,2547.0,282830.0,11.3%,Asia,,
2000-01-01,Mexico,1279089.0,656438.0,1935527.0,24.9%,North America,,
2000-01-01,Netherlands,215085.0,52234.0,267319.0,-13.0%,Europe,,
2000-01-01,Poland,481689.0,23283.0,504972.0,-12.2%,Europe,,
2000-01-01,Portugal,178509.0,68215.0,246724.0,-2.2%,Europe,,
2000-01-01,Romania,64181.0,13984.0,78165.0,-26.9%,Europe,,
2000-01-01,Russia,969235.0,236346.0,1205581.0,3.1%,Europe,,
2000-01-01,Serbia,11091.0,1649.0,12740.0,141.8%,Europe,,
2000-01-01,Slovakia,181333.0,450.0,181783.0,43.3%,Europe,,
2000-01-01,Slovenia,122949.0,0.0,122949.0,4.1%,Europe,,
2000-01-01,South africa,230577.0,126787.0,357364.0,12.6%,Africa,,
2000-01-01,South korea,2602008.0,512990.0,3114998.0,9.6%,Asia,,
2000-01-01,Spain,2366359.0,666515.0,3032874.0,6.3%,Europe,,
